city, marital-status, age, gender, year, population
DC, Married, 15-19, M, 2006, 109
DC, Married, 20-24, F, 2006, 1120
DC, Married, 20-24, M, 2006, 789
DC, Married, 25-29, F, 2006, 4111
DC, Married, 25-29, M, 2006, 3347
DC, Married, 30-34, F, 2006, 7188
DC, Married, 30-34, M, 2006, 6978
DC, Married, 35-39, F, 2006, 8263
DC, Married, 35-39, M, 2006, 8443
DC, Married, 40-44, F, 2006, 8791
DC, Married, 40-44, M, 2006, 9111
DC, Married, 45-49, F, 2006, 8394
DC, Married, 45-49, M, 2006, 8727
DC, Married, 5-9, F, 2006, 0
DC, Married, 5-9, M, 2006, 0
DC, Married, 50-54, F, 2006, 7422
DC, Married, 50-54, M, 2006, 7776
DC, Married, 55-59, F, 2006, 7297
DC, Married, 55-59, M, 2006, 7454
DC, Married, 60-64, F, 2006, 6307
DC, Married, 60-64, M, 2006, 6499
DC, Married, 65-69, F, 2006, 5429
DC, Married, 65-69, M, 2006, 5780
DC, Married, 70-74, F, 2006, 4101
DC, Married, 70-74, M, 2006, 4711
DC, Married, 75-79, F, 2006, 2571
DC, Married, 75-79, M, 2006, 3233
DC, Married, 80-84, F, 2006, 1100
DC, Married, 80-84, M, 2006, 1708
DC, Married, 85-and-more, F, 2006, 392
DC, Married, 85-and-more, M, 2006, 676
DC, Separated, 0-4, F, 2006, 0
DC, Separated, 0-4, M, 2006, 0
DC, Separated, 10-14, F, 2006, 0
DC, Separated, 10-14, M, 2006, 0
DC, Separated, 15-19, F, 2006, 7
DC, Separated, 15-19, M, 2006, 6
DC, Separated, 20-24, F, 2006, 58
DC, Separated, 20-24, M, 2006, 25
DC, Separated, 25-29, F, 2006, 227
DC, Separated, 25-29, M, 2006, 121
DC, Separated, 30-34, F, 2006, 487
DC, Separated, 30-34, M, 2006, 313
DC, Separated, 35-39, F, 2006, 926
DC, Separated, 35-39, M, 2006, 622
DC, Separated, 40-44, F, 2006, 1280
DC, Separated, 40-44, M, 2006, 873
DC, Separated, 45-49, F, 2006, 1420
DC, Separated, 45-49, M, 2006, 1045
DC, Separated, 5-9, F, 2006, 0
DC, Separated, 5-9, M, 2006, 0
DC, Separated, 50-54, F, 2006, 1259
DC, Separated, 50-54, M, 2006, 1117
DC, Separated, 55-59, F, 2006, 1050
DC, Separated, 55-59, M, 2006, 1004
DC, Separated, 60-64, F, 2006, 683
DC, Separated, 60-64, M, 2006, 678
DC, Separated, 65-69, F, 2006, 436
DC, Separated, 65-69, M, 2006, 462
DC, Separated, 70-74, F, 2006, 236
DC, Separated, 70-74, M, 2006, 251
DC, Separated, 75-79, F, 2006, 107
DC, Separated, 75-79, M, 2006, 104
DC, Separated, 80-84, F, 2006, 41
DC, Separated, 80-84, M, 2006, 41
DC, Separated, 85-and-more, F, 2006, 22
DC, Separated, 85-and-more, M, 2006, 13
DC, Single, 0-4, F, 2006, 12933
DC, Single, 0-4, M, 2006, 13430
DC, Single, 10-14, F, 2006, 11996
DC, Single, 10-14, M, 2006, 12452
DC, Single, 15-19, F, 2006, 14779
DC, Single, 15-19, M, 2006, 14790
DC, Single, 20-24, F, 2006, 27404
DC, Single, 20-24, M, 2006, 26214
DC, Single, 25-29, F, 2006, 26965
DC, Single, 25-29, M, 2006, 28557
DC, Single, 30-34, F, 2006, 14586
DC, Single, 30-34, M, 2006, 16629
DC, Single, 35-39, F, 2006, 8102
DC, Single, 35-39, M, 2006, 9337
DC, Single, 40-44, F, 2006, 5379
DC, Single, 40-44, M, 2006, 5750
DC, Single, 45-49, F, 2006, 3868
DC, Single, 45-49, M, 2006, 3971
DC, Single, 5-9, F, 2006, 12151
DC, Single, 5-9, M, 2006, 12892
DC, Single, 50-54, F, 2006, 3056
DC, Single, 50-54, M, 2006, 3025
DC, Single, 55-59, F, 2006, 2380
DC, Single, 55-59, M, 2006, 2493
DC, Single, 60-64, F, 2006, 1822
DC, Single, 60-64, M, 2006, 1799
DC, Single, 65-69, F, 2006, 1712
DC, Single, 65-69, M, 2006, 1388
DC, Single, 70-74, F, 2006, 1730
DC, Single, 70-74, M, 2006, 1174
DC, Single, 75-79, F, 2006, 1685
DC, Single, 75-79, M, 2006, 887
DC, Single, 80-84, F, 2006, 1420
DC, Single, 80-84, M, 2006, 485
DC, Single, 85-and-more, F, 2006, 1251
DC, Single, 85-and-more, M, 2006, 336
DC, Widowed, 0-4, F, 2006, 0
DC, Widowed, 0-4, M, 2006, 0
DC, Widowed, 10-14, F, 2006, 0
DC, Widowed, 10-14, M, 2006, 0
DC, Widowed, 15-19, F, 2006, 9
DC, Widowed, 15-19, M, 2006, 19
DC, Widowed, 20-24, F, 2006, 34
DC, Widowed, 20-24, M, 2006, 34
DC, Widowed, 25-29, F, 2006, 88
DC, Widowed, 25-29, M, 2006, 93
DC, Widowed, 30-34, F, 2006, 121
DC, Widowed, 30-34, M, 2006, 123
DC, Widowed, 35-39, F, 2006, 182
DC, Widowed, 35-39, M, 2006, 128
DC, Widowed, 40-44, F, 2006, 285
DC, Widowed, 40-44, M, 2006, 193
DC, Widowed, 45-49, F, 2006, 473
DC, Widowed, 45-49, M, 2006, 224
DC, Widowed, 5-9, F, 2006, 0
DC, Widowed, 5-9, M, 2006, 0
DC, Widowed, 50-54, F, 2006, 619
DC, Widowed, 50-54, M, 2006, 315
DC, Widowed, 55-59, F, 2006, 964
DC, Widowed, 55-59, M, 2006, 439
DC, Widowed, 60-64, F, 2006, 1449
DC, Widowed, 60-64, M, 2006, 543
DC, Widowed, 65-69, F, 2006, 2207
DC, Widowed, 65-69, M, 2006, 770
DC, Widowed, 70-74, F, 2006, 3219
DC, Widowed, 70-74, M, 2006, 951
DC, Widowed, 75-79, F, 2006, 3777
DC, Widowed, 75-79, M, 2006, 1114
DC, Widowed, 80-84, F, 2006, 3486
DC, Widowed, 80-84, M, 2006, 919
DC, Widowed, 85-and-more, F, 2006, 3078
DC, Widowed, 85-and-more, M, 2006, 697
GC, Divorced, 0-4, F, 2006, 0
GC, Divorced, 0-4, M, 2006, 0
GC, Divorced, 10-14, F, 2006, 0
GC, Divorced, 10-14, M, 2006, 0
GC, Divorced, 15-19, F, 2006, 0
GC, Divorced, 15-19, M, 2006, 1
GC, Divorced, 20-24, F, 2006, 5
GC, Divorced, 20-24, M, 2006, 0
GC, Divorced, 25-29, F, 2006, 14
GC, Divorced, 25-29, M, 2006, 25
GC, Divorced, 30-34, F, 2006, 61
GC, Divorced, 30-34, M, 2006, 40
GC, Divorced, 35-39, F, 2006, 63
GC, Divorced, 35-39, M, 2006, 59
GC, Divorced, 40-44, F, 2006, 117
GC, Divorced, 40-44, M, 2006, 99
GC, Divorced, 45-49, F, 2006, 126
GC, Divorced, 45-49, M, 2006, 72
GC, Divorced, 5-9, F, 2006, 0
GC, Divorced, 5-9, M, 2006, 0
GC, Divorced, 50-54, F, 2006, 114
GC, Divorced, 50-54, M, 2006, 65
GC, Divorced, 55-59, F, 2006, 72
GC, Divorced, 55-59, M, 2006, 50
GC, Divorced, 60-64, F, 2006, 46
GC, Divorced, 60-64, M, 2006, 29
GC, Divorced, 65-69, F, 2006, 21
GC, Divorced, 65-69, M, 2006, 14
GC, Divorced, 70-74, F, 2006, 13
GC, Divorced, 70-74, M, 2006, 11
GC, Divorced, 75-79, F, 2006, 8
GC, Divorced, 75-79, M, 2006, 5
GC, Divorced, 80-84, F, 2006, 1
GC, Divorced, 80-84, M, 2006, 2
GC, Divorced, 85-and-more, F, 2006, 0
GC, Divorced, 85-and-more, M, 2006, 0
